system_job_id,education_display,education_source,experience_display,experience_source
5092368086,Bachelor's Degree,nlp_inferred,,not_specified
4749677815,Doctorate,nlp_inferred,,not_specified
5097542045,Master's Degree,nlp_inferred,3 years,nlp_inferred
5092363968,Bachelor's Degree,nlp_inferred,,not_specified
4351021950,Bachelor's Degree,nlp_inferred,,not_specified
4355001063,Bachelor's Degree,nlp_inferred,,not_specified
5115225537,Doctorate,nlp_inferred,3 years,nlp_inferred
4967668806,Doctorate,nlp_inferred,,not_specified
5135669982,Doctorate,nlp_inferred,,not_specified
5135671293,Doctorate,nlp_inferred,,not_specified
5135674460,High School Diploma/GED,nlp_inferred,6 months,nlp_inferred
5135690177,High School Diploma/GED,nlp_inferred,1 years,nlp_inferred
5135852374,Doctorate,nlp_inferred,Entry level / no experience,nlp_inferred
5135852382,Doctorate,nlp_inferred,Entry level / no experience,nlp_inferred
5135852821,Doctorate,nlp_inferred,2 years,nlp_inferred
5132357729,Bachelor's Degree,nlp_inferred,,not_specified
5132355562,Bachelor's Degree,nlp_inferred,,not_specified
5135842094,Doctorate,nlp_inferred,,not_specified
5262249741,,not_specified,1 years,nlp_inferred
5260318928,High School Diploma/GED,nlp_inferred,18 years,nlp_inferred
5259715613,Certification,nlp_inferred,,not_specified
5263796326,Master's Degree,nlp_inferred,,not_specified
4967670671,Doctorate,nlp_inferred,Entry level / no experience,nlp_inferred
5259934429,Master's Degree,nlp_inferred,,not_specified
5224627575,Bachelor's Degree,nlp_inferred,3 years,nlp_inferred
5189662558,,not_specified,Entry level / no experience,nlp_inferred
5151227114,Bachelor's Degree,nlp_inferred,8 years,nlp_inferred
5214302274,High School Diploma/GED,nlp_inferred,,not_specified
5214326304,,not_specified,18 years,nlp_inferred
5212487832,,not_specified,,not_specified
5076924992,Doctorate,nlp_inferred,7 years,nlp_inferred
5212489589,Certification,nlp_inferred,1-2 years,nlp_inferred
5165748873,Doctorate,nlp_inferred,,not_specified
5077017961,Doctorate,nlp_inferred,,not_specified
5208985470,,not_specified,12 months,nlp_inferred
5249290567,Bachelor's Degree,nlp_inferred,6 years,nlp_inferred
5142716645,Doctorate,nlp_inferred,2-5 years,nlp_inferred
5127056298,Doctorate,nlp_inferred,,not_specified
5127050775,Doctorate,nlp_inferred,3 years,nlp_inferred
5245058523,Bachelor's Degree,nlp_inferred,,not_specified
5228006891,,not_specified,1 years,nlp_inferred
5249286893,Associate Degree,nlp_inferred,,not_specified
5249313725,Associate Degree,nlp_inferred,,not_specified
5151222251,Bachelor's Degree,nlp_inferred,8 years,nlp_inferred
5151229495,Master's Degree,nlp_inferred,Entry level / no experience,nlp_inferred
5245129457,Bachelor's Degree,nlp_inferred,Entry level / no experience,nlp_inferred
5003040136,Bachelor's Degree,nlp_inferred,10-0 years,nlp_inferred
5245176885,High School Diploma/GED,nlp_inferred,3 years,nlp_inferred
5127255518,,not_specified,65 years,nlp_inferred
5235739381,,not_specified,,not_specified
5240837420,Certification,nlp_inferred,1 years,nlp_inferred
5249459683,Bachelor's Degree,nlp_inferred,12 months,nlp_inferred
5243707656,,not_specified,,not_specified
5243703776,,not_specified,,not_specified
4749678116,Doctorate,nlp_inferred,,not_specified
5195589312,Master's Degree,nlp_inferred,,not_specified
4749676898,Doctorate,nlp_inferred,,not_specified
5200937536,Doctorate,nlp_inferred,,not_specified
5196607993,Doctorate,nlp_inferred,12 months,nlp_inferred
5164863595,Master's Degree,nlp_inferred,20 years,nlp_inferred
5127053515,Doctorate,nlp_inferred,,not_specified
5198310585,Doctorate,nlp_inferred,10 years,nlp_inferred
5200995058,Associate Degree,nlp_inferred,2 years,nlp_inferred
5201171702,,not_specified,,not_specified
5198540075,Master's Degree,nlp_inferred,6 months,nlp_inferred
5129732775,High School Diploma/GED,nlp_inferred,2 years,nlp_inferred
5139008875,Doctorate,nlp_inferred,,not_specified
5127051732,Master's Degree,nlp_inferred,,not_specified
5151148317,Bachelor's Degree,nlp_inferred,,not_specified
5135672928,Doctorate,nlp_inferred,,not_specified
5135672652,Doctorate,nlp_inferred,,not_specified
5135674973,Master's Degree,nlp_inferred,,not_specified
5135668830,Doctorate,nlp_inferred,Entry level / no experience,nlp_inferred
5135675065,Doctorate,nlp_inferred,,not_specified
5135674212,Doctorate,nlp_inferred,3 years,nlp_inferred
5135673320,Doctorate,nlp_inferred,3 years,nlp_inferred
5154858194,Associate Degree,nlp_inferred,18 years,nlp_inferred
4749677725,Master's Degree,nlp_inferred,9 months,nlp_inferred
5262369913,High School Diploma/GED,nlp_inferred,1 years,nlp_inferred
5263737152,,not_specified,2-10 years,nlp_inferred
5262262610,Bachelor's Degree,nlp_inferred,5 years,nlp_inferred
5263732900,,not_specified,5 years,nlp_inferred
5263745825,,not_specified,,not_specified
5263733082,Master's Degree,nlp_inferred,7 years,nlp_inferred
5127054628,Doctorate,nlp_inferred,,not_specified
5259691123,Certification,nlp_inferred,2 years,nlp_inferred
5259678227,Doctorate,nlp_inferred,12 months,nlp_inferred
5262299652,Certification,nlp_inferred,3 years,nlp_inferred
5125178039,Master's Degree,nlp_inferred,3 years,nlp_inferred
5263799513,Master's Degree,nlp_inferred,,not_specified
5256911616,Associate Degree,nlp_inferred,18 years,nlp_inferred
5154863338,Associate Degree,nlp_inferred,18 years,nlp_inferred
5249239069,Associate Degree,nlp_inferred,18 years,nlp_inferred
5250299641,Associate Degree,nlp_inferred,,not_specified
5078681963,Certification,nlp_inferred,,not_specified
5249268654,Master's Degree,nlp_inferred,,not_specified
5189580808,Doctorate,nlp_inferred,,not_specified
5240675780,,not_specified,,not_specified
5247177580,Associate Degree,nlp_inferred,18 years,nlp_inferred
5027322236,Doctorate,nlp_inferred,,not_specified
5165808362,Bachelor's Degree,nlp_inferred,,not_specified
5259868136,Bachelor's Degree,nlp_inferred,,not_specified
5260466490,,not_specified,,not_specified
5151312434,Bachelor's Degree,nlp_inferred,2 years,nlp_inferred
5208980048,,not_specified,5-6 months,nlp_inferred
5179155150,,not_specified,,not_specified
5247261010,,not_specified,40 years,nlp_inferred
4984641919,Master's Degree,nlp_inferred,15 years,nlp_inferred
4662455459,High School Diploma/GED,nlp_inferred,21 years,nlp_inferred
5186217386,Certification,nlp_inferred,2 years,nlp_inferred
5243705468,,not_specified,,not_specified
5186208935,Certification,nlp_inferred,1 years,nlp_inferred
5155015442,Doctorate,nlp_inferred,,not_specified
5029666692,,not_specified,2 years,nlp_inferred
5243703498,,not_specified,,not_specified
5179159845,,not_specified,,not_specified
5179161384,,not_specified,,not_specified
5184674439,Doctorate,nlp_inferred,,not_specified
5015171688,Doctorate,nlp_inferred,,not_specified
5249520939,High School Diploma/GED,nlp_inferred,,not_specified
5139222925,Doctorate,nlp_inferred,Entry level / no experience,nlp_inferred
4967671209,Doctorate,nlp_inferred,,not_specified
5139012981,Associate Degree,nlp_inferred,,not_specified
5135675230,Doctorate,nlp_inferred,Entry level / no experience,nlp_inferred
5196605938,Master's Degree,nlp_inferred,3 years,nlp_inferred
5198308051,Doctorate,nlp_inferred,12 months,nlp_inferred
5040752450,Bachelor's Degree,nlp_inferred,Entry level / no experience,nlp_inferred
5161774135,,not_specified,7 years,nlp_inferred
4749677092,Master's Degree,nlp_inferred,9 months,nlp_inferred
5198218575,Bachelor's Degree,nlp_inferred,Entry level / no experience,nlp_inferred
5138394144,Master's Degree,nlp_inferred,,not_specified
5124645951,,not_specified,1-2 years,nlp_inferred
5214148367,,not_specified,,not_specified
5210840573,Master's Degree,nlp_inferred,1 years,nlp_inferred
5208824603,Master's Degree,nlp_inferred,,not_specified
5219432279,High School Diploma/GED,nlp_inferred,1 years,nlp_inferred
5207608940,,not_specified,Entry level / no experience,nlp_inferred
5184676540,Doctorate,nlp_inferred,,not_specified
5219549767,High School Diploma/GED,nlp_inferred,6 months,nlp_inferred
5135669972,Doctorate,nlp_inferred,,not_specified
5148120157,Bachelor's Degree,nlp_inferred,1 years,nlp_inferred
4749677886,Doctorate,nlp_inferred,,not_specified
5154862669,Associate Degree,nlp_inferred,18 years,nlp_inferred
5156749338,Master's Degree,nlp_inferred,3-5 years,nlp_inferred
5156754451,Bachelor's Degree,nlp_inferred,1-3 years,nlp_inferred
5232301914,Bachelor's Degree,nlp_inferred,,not_specified
5135674943,,not_specified,,not_specified
5115226437,Doctorate,nlp_inferred,,not_specified
5233160322,Certification,nlp_inferred,6 months,nlp_inferred
5124428546,Master's Degree,nlp_inferred,5 years,nlp_inferred
4749678121,Doctorate,nlp_inferred,9 months,nlp_inferred
4826566584,Doctorate,nlp_inferred,,not_specified
5235648940,Master's Degree,nlp_inferred,5 years,nlp_inferred
4994907632,Master's Degree,nlp_inferred,,not_specified
5232516190,,not_specified,3 years,nlp_inferred
4749677633,Doctorate,nlp_inferred,1 years,nlp_inferred
4749678331,Doctorate,nlp_inferred,9 months,nlp_inferred
4749677533,Bachelor's Degree,nlp_inferred,9 months,nlp_inferred
5090764997,Doctorate,nlp_inferred,,not_specified
5110510477,,not_specified,2 years,nlp_inferred
5135704134,Bachelor's Degree,nlp_inferred,20 years,nlp_inferred
5184509010,Doctorate,nlp_inferred,3-5 years,nlp_inferred
5250345021,Master's Degree,nlp_inferred,10 years,nlp_inferred
4967671106,Doctorate,nlp_inferred,,not_specified
5135671241,High School Diploma/GED,nlp_inferred,12 months,nlp_inferred
5127051719,Doctorate,nlp_inferred,,not_specified
5135674957,Master's Degree,nlp_inferred,0-1 years,nlp_inferred
5020144466,Doctorate,nlp_inferred,Entry level / no experience,nlp_inferred
5247320811,Associate Degree,nlp_inferred,3 years,nlp_inferred
5233281069,Bachelor's Degree,nlp_inferred,,not_specified
4749678238,Doctorate,nlp_inferred,9 months,nlp_inferred
5111174701,Master's Degree,nlp_inferred,,not_specified
5184678908,Doctorate,nlp_inferred,,not_specified
4524590036,Doctorate,nlp_inferred,7 years,nlp_inferred
5075398389,Certification,nlp_inferred,Entry level / no experience,nlp_inferred
4437048607,,not_specified,12 years,nlp_inferred
4349605506,Bachelor's Degree,nlp_inferred,,not_specified
4944145949,Bachelor's Degree,nlp_inferred,,not_specified
5100917793,Doctorate,nlp_inferred,5 months,nlp_inferred
5233072584,High School Diploma/GED,nlp_inferred,18 years,nlp_inferred
5186010298,Bachelor's Degree,nlp_inferred,,not_specified
5235605123,High School Diploma/GED,nlp_inferred,18 years,nlp_inferred
5232322514,Bachelor's Degree,nlp_inferred,2 years,nlp_inferred
5020219118,,not_specified,7 years,nlp_inferred
5236733983,Associate Degree,nlp_inferred,Entry level / no experience,nlp_inferred
5233309499,,not_specified,,not_specified
5005174878,Master's Degree,nlp_inferred,,not_specified
5039484704,Master's Degree,nlp_inferred,,not_specified
5127056378,Master's Degree,nlp_inferred,,not_specified
4971092459,Doctorate,nlp_inferred,6 months,nlp_inferred
5135669613,Doctorate,nlp_inferred,,not_specified
5249265056,Master's Degree,nlp_inferred,6 months,nlp_inferred
5223066674,High School Diploma/GED,nlp_inferred,18 years,nlp_inferred
5252430617,Bachelor's Degree,nlp_inferred,2-3 years,nlp_inferred
5247190347,Associate Degree,nlp_inferred,,not_specified
5135668531,Doctorate,nlp_inferred,3 years,nlp_inferred
5113090302,Doctorate,nlp_inferred,3 years,nlp_inferred
5198307105,Doctorate,nlp_inferred,,not_specified
5212336098,Master's Degree,nlp_inferred,,not_specified
5148230846,,not_specified,,not_specified
5155018482,Doctorate,nlp_inferred,,not_specified
4383312145,Bachelor's Degree,nlp_inferred,,not_specified
5233077729,High School Diploma/GED,nlp_inferred,18 years,nlp_inferred
5262260755,Bachelor's Degree,nlp_inferred,5 years,nlp_inferred
5260257194,Master's Degree,nlp_inferred,5 years,nlp_inferred
5263744302,,not_specified,10 years,nlp_inferred
5262251456,Bachelor's Degree,nlp_inferred,2-3 years,nlp_inferred
5265288229,,not_specified,,not_specified
5262250294,,not_specified,,not_specified
5232425197,Certification,nlp_inferred,2 years,nlp_inferred
4911731743,Bachelor's Degree,nlp_inferred,7 years,nlp_inferred
5263780731,High School Diploma/GED,nlp_inferred,,not_specified
5189584227,Doctorate,nlp_inferred,,not_specified
5270201954,Master's Degree,nlp_inferred,,not_specified
5249288737,Bachelor's Degree,nlp_inferred,6 years,nlp_inferred
5259716483,Associate Degree,nlp_inferred,,not_specified
5238911281,Bachelor's Degree,nlp_inferred,6 years,nlp_inferred
5270204526,Associate Degree,nlp_inferred,18 years,nlp_inferred
5270206498,High School Diploma/GED,nlp_inferred,11-5 years,nlp_inferred
5270207018,Certification,nlp_inferred,,not_specified
5236672257,Bachelor's Degree,nlp_inferred,6 months,nlp_inferred
5270209014,Bachelor's Degree,nlp_inferred,,not_specified
5247277315,Master's Degree,nlp_inferred,8 years,nlp_inferred
5262485373,,not_specified,,not_specified
5236872041,High School Diploma/GED,nlp_inferred,18 years,nlp_inferred
5262525255,High School Diploma/GED,nlp_inferred,,not_specified
4749677897,Doctorate,nlp_inferred,,not_specified
5127052754,Doctorate,nlp_inferred,,not_specified
5135674047,Master's Degree,nlp_inferred,6 years,nlp_inferred
5135675309,High School Diploma/GED,nlp_inferred,2 years,nlp_inferred
5099238099,Doctorate,nlp_inferred,3 years,nlp_inferred
5201875812,Doctorate,nlp_inferred,12 years,nlp_inferred
5020139342,Doctorate,nlp_inferred,,not_specified
5165745608,Doctorate,nlp_inferred,,not_specified
4971104039,Doctorate,nlp_inferred,6 months,nlp_inferred
5196608875,Doctorate,nlp_inferred,5 years,nlp_inferred
5016708910,Master's Degree,nlp_inferred,,not_specified
4967669596,Doctorate,nlp_inferred,,not_specified
5135674974,Doctorate,nlp_inferred,18-95 years,nlp_inferred
4911646563,Doctorate,nlp_inferred,3 years,nlp_inferred
4749678096,Master's Degree,nlp_inferred,9 months,nlp_inferred
5183067761,Associate Degree,nlp_inferred,,not_specified
5160500348,Associate Degree,nlp_inferred,5 years,nlp_inferred
5204540679,Master's Degree,nlp_inferred,,not_specified
5154862943,Associate Degree,nlp_inferred,18 years,nlp_inferred
5010410572,Certification,nlp_inferred,12 months,nlp_inferred
4437048593,,not_specified,12 years,nlp_inferred
5127054280,Doctorate,nlp_inferred,2 years,nlp_inferred
5186011742,,not_specified,3 months,nlp_inferred
5014983830,Associate Degree,nlp_inferred,,not_specified
5080587286,Master's Degree,nlp_inferred,Entry level / no experience,nlp_inferred
5093390590,Bachelor's Degree,nlp_inferred,Entry level / no experience,nlp_inferred
5085728063,Bachelor's Degree,nlp_inferred,Entry level / no experience,nlp_inferred
5189660249,,not_specified,Entry level / no experience,nlp_inferred
4984635353,Master's Degree,nlp_inferred,5 years,nlp_inferred
5189668382,,not_specified,Entry level / no experience,nlp_inferred
5186208222,Certification,nlp_inferred,2 years,nlp_inferred
5005173588,Master's Degree,nlp_inferred,,not_specified
5189838605,High School Diploma/GED,nlp_inferred,,not_specified
5135854182,Doctorate,nlp_inferred,2 years,nlp_inferred
4749678091,Doctorate,nlp_inferred,,not_specified
5135671030,Doctorate,nlp_inferred,,not_specified
5087368347,Doctorate,nlp_inferred,1 years,nlp_inferred
5142715258,Doctorate,nlp_inferred,12 months,nlp_inferred
5161670281,Master's Degree,nlp_inferred,2-5 years,nlp_inferred
5255249768,Bachelor's Degree,nlp_inferred,4-6 years,nlp_inferred
5154863981,Associate Degree,nlp_inferred,18 years,nlp_inferred
5255227454,Doctorate,nlp_inferred,,not_specified
5127052289,Doctorate,nlp_inferred,,not_specified
5243480238,Bachelor's Degree,nlp_inferred,8 years,nlp_inferred
5250368298,Certification,nlp_inferred,1 years,nlp_inferred
5127053871,Master's Degree,nlp_inferred,9 months,nlp_inferred
5090778557,Bachelor's Degree,nlp_inferred,,not_specified
5127055407,Doctorate,nlp_inferred,2 years,nlp_inferred
5127053626,,not_specified,,not_specified
4967669410,Doctorate,nlp_inferred,Entry level / no experience,nlp_inferred
4967671067,Doctorate,nlp_inferred,Entry level / no experience,nlp_inferred
5127052130,Doctorate,nlp_inferred,,not_specified
5174977585,High School Diploma/GED,nlp_inferred,6 months,nlp_inferred
5262263064,Bachelor's Degree,nlp_inferred,2-3 years,nlp_inferred
5260254707,,not_specified,1-3 years,nlp_inferred
5260254022,Bachelor's Degree,nlp_inferred,5 years,nlp_inferred
5266918650,Bachelor's Degree,nlp_inferred,,not_specified
5260255262,Certification,nlp_inferred,,not_specified
5262264194,,not_specified,,not_specified
5161565492,Doctorate,nlp_inferred,,not_specified
5245036714,Master's Degree,nlp_inferred,28 years,nlp_inferred
5270180971,,not_specified,,not_specified
5223001208,Bachelor's Degree,nlp_inferred,5 years,nlp_inferred
5175578079,High School Diploma/GED,nlp_inferred,6 months,nlp_inferred
5014983984,Certification,nlp_inferred,3 years,nlp_inferred
5250315056,High School Diploma/GED,nlp_inferred,12 months,nlp_inferred
5259680650,Certification,nlp_inferred,,not_specified
5184528282,Bachelor's Degree,nlp_inferred,5 years,nlp_inferred
5270203505,Associate Degree,nlp_inferred,18 years,nlp_inferred
5270203600,Associate Degree,nlp_inferred,18 years,nlp_inferred
5270203488,High School Diploma/GED,nlp_inferred,18 years,nlp_inferred
5270204269,Associate Degree,nlp_inferred,18 years,nlp_inferred
5247176294,High School Diploma/GED,nlp_inferred,,not_specified
5221472903,Master's Degree,nlp_inferred,28 years,nlp_inferred
5161670081,Master's Degree,nlp_inferred,2-5 years,nlp_inferred
5214144342,Master's Degree,nlp_inferred,,not_specified
5214144890,Master's Degree,nlp_inferred,,not_specified
5127052891,Doctorate,nlp_inferred,,not_specified
5127056594,Doctorate,nlp_inferred,,not_specified
4749678200,Master's Degree,nlp_inferred,9 months,nlp_inferred
5100920384,Doctorate,nlp_inferred,3 years,nlp_inferred
5175650384,,not_specified,,not_specified
5129817336,,not_specified,13-0 years,nlp_inferred
5158199393,Bachelor's Degree,nlp_inferred,10 years,nlp_inferred
5080721167,Bachelor's Degree,nlp_inferred,Entry level / no experience,nlp_inferred
5212370158,Certification,nlp_inferred,,not_specified
5262485998,Doctorate,nlp_inferred,4 years,nlp_inferred
5155016788,Doctorate,nlp_inferred,,not_specified
5135673211,Bachelor's Degree,nlp_inferred,,not_specified
5110600306,Master's Degree,nlp_inferred,10 years,nlp_inferred
5146714898,Associate Degree,nlp_inferred,,not_specified
5054562430,Bachelor's Degree,nlp_inferred,,not_specified
5214240014,High School Diploma/GED,nlp_inferred,18 years,nlp_inferred
5200946589,Master's Degree,nlp_inferred,3 years,nlp_inferred
4967668894,Doctorate,nlp_inferred,Entry level / no experience,nlp_inferred
5201877703,,not_specified,,not_specified
5196608800,Doctorate,nlp_inferred,9 months,nlp_inferred
5201872398,Master's Degree,nlp_inferred,,not_specified
5135669920,High School Diploma/GED,nlp_inferred,,not_specified
5087418963,Master's Degree,nlp_inferred,,not_specified
5049421749,Bachelor's Degree,nlp_inferred,Entry level / no experience,nlp_inferred
5201173167,,not_specified,,not_specified
5172223534,Doctorate,nlp_inferred,9 months,nlp_inferred
4749678300,Doctorate,nlp_inferred,,not_specified
5184536600,Bachelor's Degree,nlp_inferred,5 years,nlp_inferred
5184741466,Certification,nlp_inferred,,not_specified
5188540670,Bachelor's Degree,nlp_inferred,,not_specified
5189664449,,not_specified,Entry level / no experience,nlp_inferred
5189667025,,not_specified,Entry level / no experience,nlp_inferred
5189665858,,not_specified,Entry level / no experience,nlp_inferred
5189670305,,not_specified,Entry level / no experience,nlp_inferred
5214151123,Bachelor's Degree,nlp_inferred,,not_specified
5233098561,Certification,nlp_inferred,,not_specified
5127051909,Doctorate,nlp_inferred,,not_specified
5127055029,Master's Degree,nlp_inferred,9 months,nlp_inferred
5238892500,Bachelor's Degree,nlp_inferred,2 years,nlp_inferred
5154863181,Associate Degree,nlp_inferred,18 years,nlp_inferred
5154856842,Associate Degree,nlp_inferred,18 years,nlp_inferred
5260257149,,not_specified,1-3 years,nlp_inferred
5271634023,High School Diploma/GED,nlp_inferred,1 years,nlp_inferred
5265288705,,not_specified,,not_specified
5259630470,Certification,nlp_inferred,6 months,nlp_inferred
5099207862,Bachelor's Degree,nlp_inferred,4 years,nlp_inferred
4749678366,Doctorate,nlp_inferred,9 months,nlp_inferred
5233116247,Bachelor's Degree,nlp_inferred,8 years,nlp_inferred
